label,x,y
C,-2.521061556,1.4730958969365124
D,-2.454420028,1.5778182983354017
E,-2.362391251,1.6952343241462773
F,-2.27353588,1.7999567255451665
G,-2.191027321,1.8792918781200827
H,-2.108518763,1.9522802184890053
I,-2.01331658,2.044308995475908
J,-1.927634615,2.139511178565807
K,-1.832432432,2.215672925037727
L,-1.724536624,2.2950080776126427
M,-1.632507847,2.364823011878569
N,-1.521438634,2.4409847583504884
O,-1.423063044,2.5139730987194113
P,-1.311993831,2.602828469603318
Q,-1.181884181,2.685337028281231
R,-1.05177453,2.79005943
S,-0.912144662,2.8789148005640266
T,-0.762994575,2.9772903897569223
U,-0.636058331,3.062972354537832
V,-0.502775274,3.1200936643917716
W,-0.4,3.2
Z,-0.334584751,3.3231916549835567
A_1,-0.334584751,3.472341741824399
B_1,-0.359972,3.6056247981502585
C_1,-0.426613528,3.723040823961134
D_1,-0.502775274,3.894404753522953
E_1,-0.550376366,4.0181675915398225
F_1,-0.569416803,4.183184708895648
G_1,-0.60432427,4.351375232354469
H_1,-0.623364706,4.475138070371338
I_1,-0.658272174,4.386282699487432
J_1,-0.73443392,4.357722044560462
K_1,-0.8,4.4
L_1,-0.747127544,4.2656932675735595
M_1,-0.8,4.2
N_1,-0.877237195,4.176837896689654
O_1,-0.912144662,4.243479424852583
P_1,-0.90579785,4.351375232354469
Q_1,-0.86454357,4.449750821547365
R_1,-0.924838286,4.497351913092315
S_1,-1,4.6
T_1,-1.029560688,4.760744619641036
U_1,-1.067641561,4.906721300378882
V_1,-1.102549028,5.033657544498747
W_1,-1.112069246,5.151073570309624
Z_1,-1.124762871,5.278009814429489
A_2,-1.127936277,5.433506713476325
B_2,-1.118416058,5.598523831
C_2,-1.032734094,5.557269551493194
D_2,-0.972439378,5.477934398918277
E_2,-0.886757413,5.4049460585493545
F_2,-0.823289291,5.287530032738479
G_2,-0.750300951,5.201848067957569
H_2,-0.724913702,5.097125667
I_2,-0.715393483,4.992403265159791
J_2,-0.705873265,4.906721300378882
K_2,-0.686832828,4.789305274568006
L_2,-0.658272174,4.668715842654134
M_2,-0.639231737,4.583033877873224
N_2,-0.778861605,5.446200337888311
O_2,-0.737607326,5.595350424729154
P_2,-0.690006235,5.8111420397329265
Q_2,-0.6,6
R_2,-0.509122087,6.191950772092524
S_2,-0.439307152,6.350621077242355
T_2,-0.334584751,6.496597757980202
U_2,-0.2,6.6
V_2,-0.061671826,6.674308499748014
W_2,0.077958042,6.728256403498957
Z_2,0.2461485658167087,6.798071337764883
A_3,0.414339089,6.855192647618823
B_3,0.5825296127343532,6.893273520854782
C_3,0.7348531056781923,6.928180987987746
D_3,0.925257472,6.950394830708722
E_3,1.061713934286847,6.972608673429699
F_3,1.2457714882606523,6.997995922253672
G_3,1.4,7
